"Doctors Without Borders","Philadelphia","2020-11-12T17:29:47Z",17,29022
"#WeLostTheSummer","Philadelphia","2020-11-12T17:29:47Z",18,188922
"Chachi","Philadelphia","2020-11-12T17:29:47Z",19,0
"OANN","Philadelphia","2020-11-12T17:29:47Z",20,254696
"Hornets","Philadelphia","2020-11-12T17:29:47Z",21,14704
"Happy Founders","Philadelphia","2020-11-12T17:29:47Z",22,0
"#WandaVision","Philadelphia","2020-11-12T17:29:47Z",23,0
"Jurassic Park","Philadelphia","2020-11-12T17:29:47Z",24,0
"Founders Day","Philadelphia","2020-11-12T17:29:47Z",25,0
"Big Jim","Philadelphia","2020-11-12T17:29:47Z",26,31032
"Had the ps5","Philadelphia","2020-11-12T17:29:47Z",27,0
"Scott Baio","Philadelphia","2020-11-12T17:29:47Z",28,0
"Too Deep For The Intro","Philadelphia","2020-11-12T17:29:47Z",29,0
"Oladipo","Philadelphia","2020-11-12T17:29:47Z",30,0
"Batum","Philadelphia","2020-11-12T17:29:47Z",31,0
"Naples","Philadelphia","2020-11-12T17:29:47Z",32,21207
"Tomorrow is Friday the 13th","Philadelphia","2020-11-12T17:29:47Z",33,0
"Kroos","Philadelphia","2020-11-12T17:29:47Z",34,30291
"DMCA","Philadelphia","2020-11-12T17:29:47Z",35,16797
"Corey Lewandowski","Philadelphia","2020-11-12T17:29:47Z",36,0
"Yadi","Philadelphia","2020-11-12T17:29:47Z",37,0
"Costco","Philadelphia","2020-11-12T17:29:47Z",38,0
"Molina","Philadelphia","2020-11-12T17:29:47Z",39,14460
"Between Two Ferns","Philadelphia","2020-11-12T17:29:47Z",40,0
"Lake Placid","Philadelphia","2020-11-12T17:29:47Z",41,0
"YOUNGJAE","Philadelphia","2020-11-12T17:29:47Z",42,39638
"Spain","Philadelphia","2020-11-12T17:29:47Z",43,68577
"Dinosaur","Philadelphia","2020-11-12T17:29:47Z",44,15642
"Mason McHorse","Philadelphia","2020-11-12T17:29:47Z",45,0
"olivia hye","Philadelphia","2020-11-12T17:29:47Z",46,17674
"Rahm","Philadelphia","2020-11-12T17:29:47Z",47,16588
